Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01/07/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,USA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,2.809836864,2.886588101,3.182827535,2.775510204,2.975381362,2.568055292,2.798936996,2.091161989,2.149598144,2.397133976,2.017640471,2.437554652,2.352823087,2.456995577,3.684670129,5.651144436,4.929412276,4.787141115,4.831796626,2.783566309,2.332185068,2.876064576,3.164266785,2.988190017,2.709612015,2.218063802,1.929162106,1.754102186,1.714899924,1.575750524,1.353225901,1.267256184,1.408315911,1.368048649,1.212712829,1.042295217,0.948877561,0.960098064,0.851743221,0.777077938,0.805675603,0.909201588,0.88087356,0.752702434,0.899030796,0.907102447,1.019411952,1.181716537,1.244323601,1.392162057,1.340315775,1.227239715,1.029657623,1.102116748,1.15118645,0.94398907,0.87456445,0.826237359,0.90895109,
United States,USA,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,35.65398037,35.87237515,35.24289345,35.76714989,39.02608008,40.80327686,41.324974,43.28696502,46.53623648,49.57600023,52.20047888,53.45482127,55.79053933,58.45691231,63.61763596,69.33152518,73.15375868,80.10629007,84.16506632,87.53119814,100,93.99704812,90.26618336,92.97034415,100.5935252,107.8016475,118.5289836,126.4805466,133.7545021,115.0409063,132.8249833,142.5555709,148.0756246,151.8910979,156.6522112,155.0967981,154.7712254,161.0373425,167.8997613,
United States,USA,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,3.976327555,3.621669018,3.138749864,3.080288872,3.222352267,2.784457664,3.296033581,3.228016961,2.847907057,2.867120302,2.598348656,2.384337475,2.211941959,2.646166437,3.816923538,4.395352364,4.456755203,4.399748194,4.175623965,4.148624769,4.761708418,5.118466428,4.67820452,5.032843186,4.740827792,4.289273085,4.014109429,4.383645945,5.000848224,6.030132993,6.725562557,7.952198729,9.668897302,10.7419403,11.60866134,12.21232706,12.52990172,13.22387681,14.01718865,14.11781817,14.31408843,14.72592084,16.65820311,17.87621331,18.8377877,20.06940877,21.02324406,21.66612802,21.01277014,24.28428444,24.26726013,22.59051767,23.21984328,24.24049635,25.03274114,27.46250027,27.57924935,28.02152205,27.46287136,
United States,USA,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.54,3.57,3.58,3.62,,4.02,4.02,4.34,3.86,3.72,3.66,3.76,3.74,3.61,3.48,3.39,3.34,3.63,3.21,3.17,3.17,3.21,2.97,2.95,2.94,2.99,3.02,5.29,5.54,
United States,USA,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,6.39,6.37,6.39,6.4,,5.73,5.42,5.19,4.71,4.34,4.31,4.19,4.1,3.96,3.82,3.8,3.79,3.65,3.84,3.88,3.9,3.89,3.79,3.78,3.77,3.78,3.78,3.53,3.76,
United States,USA,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43318000,46489000,47767000,46377000,48689000,51238000,46927000,43581000,41218000,46086000,49206000,50977000,56135000,58007000,55103000,60010000,63477410,66966900,71642910,75379350,77773520,76407480,77186740,79745920,
United States,USA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.45505592,50.47311479,50.4885358,50.50449438,50.52501666,50.55253301,50.58865525,50.63172457,50.67694948,50.71777868,50.7498649,50.77107818,50.78349324,50.79193188,50.80316322,50.82157373,50.84906999,50.88312084,50.91840029,50.94757585,50.96585025,50.97105669,50.96568113,50.95516491,50.94706889,50.9463217,50.95485152,50.96994207,50.9863034,50.99658642,50.99587435,50.98290983,50.96004793,50.93048518,50.89885684,50.86858463,50.84054109,50.8141049,50.78931082,50.76578431,50.74326868,50.72170883,50.70144626,50.6829866,50.6669921,50.65380201,50.64389646,50.63678471,50.6307101,50.62334814,50.61318905,50.59960338,50.58340493,50.56629629,50.55067347,50.53822117,50.5293128,50.52338227,50.52001465,50.51848721
United States,USA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,9.115724052,9.190702869,9.256661248,9.320936756,9.388623859,9.460466246,9.577032227,9.69526311,9.816372773,9.936733716,10.05081485,10.19898387,10.33309676,10.46512589,10.59906485,10.73045269,10.89034189,11.05031606,11.21683488,11.38764303,11.5565419,11.68583649,11.79877146,11.90593681,12.01644852,12.13166746,12.2502403,12.36098154,12.46337787,12.55320651,12.62778398,12.67125592,12.69521428,12.70254443,12.69207337,12.66251048,12.61098165,12.54580618,12.47301152,12.39971976,12.33373927,12.31392929,12.29156566,12.27768059,12.28258556,12.31171149,12.38091606,12.47186818,12.5951146,12.76264847,12.9817726,13.25026214,13.56143203,13.90504431,14.2676996,14.64288471,15.03367875,15.4193659,15.80765406,16.20960614
United States,USA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,6.426890401,6.41161523,6.424417264,6.445949415,6.448021401,6.414835803,6.361122224,6.280875482,6.181636259,6.073031537,5.959008642,5.821912901,5.686028502,5.564769979,5.468628161,5.398121978,5.274212867,5.199998956,5.186198605,5.21867069,5.266994438,5.32489075,5.384757123,5.466105751,5.593752815,5.774096394,5.981838723,6.245363277,6.544724899,6.839467783,7.096402196,7.255865302,7.378096742,7.484332474,7.597383881,7.723556558,7.829438584,7.9266955,8.008047607,8.061512839,8.080998612,8.0907206,8.068428336,8.014076588,7.927468735,7.809743676,7.652828946,7.472389107,7.280663101,7.09321772,6.92029292,6.760584722,6.621739529,6.502625289,6.401537548,6.318172133,6.25284957,6.204453178,6.174732124,6.165810475
United States,USA,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,7.51998025,7.782729136,8.079321509,8.388770775,8.673193395,8.909087586,9.019815775,9.115504582,9.241152447,9.407934717,9.590996915,9.760021859,9.874967737,9.952517596,9.997450513,10.00366983,9.989498559,9.965792762,9.929515159,9.865940726,9.762743537,9.525185699,9.246266943,8.954670603,8.678347061,8.427399462,8.180971201,7.959701379,7.766833241,7.602650072,7.464396839,7.317769098,7.217918141,7.169444876,7.164877537,7.188766139,7.18921195,7.208160157,7.248993628,7.305762166,7.367775295,7.427932508,7.482330782,7.531569202,7.578974498,7.622493835,7.589232333,7.567985855,7.550071751,7.519506505,7.46826947,7.401377294,7.291573521,7.153185819,7.012922001,6.888688735,6.813085434,6.751103169,6.699963385,6.655677901
United States,USA,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
